x0005,y0005
808,11746848.33,
809,11747540.74,
810,11746698.31,
811,11748075.58,
812,11747523.62,
813,11743282.44,
814,11744680.4,
815,11743969.32,
816,11745488.85,
817,11746635.06,
818,11742749.56,
819,11745343.43,
820,11744379.84,
821,11744586.53,
822,11745491.29,
823,11745727.61,
824,11746115.49,
825,11745546.74,
826,11746413.3,
827,11746285.86,
828,11746346.99,
829,11746033.63,
830,11745936.02,
831,11746541.14,
832,11745333.97,
833,11744332.25,
834,11742872.74,
835,11743201.44,
836,11742788.08,
837,11745498.9,
838,11743628.95,
839,11745120.83,
840,11745638.71,
841,11746173.09,
842,11745894.16,
843,11744245.56,
844,11744925.95,
845,11745045.57,
846,11744759.58,
847,11744593.27,
848,11744395.91,
849,11744979.4,
850,11742391.04,
851,11744812.29,
852,11742413.39,
853,11743305.29,
854,11743684.36,
855,11741441.8,
856,11744111.29,
857,11742911.09,
858,11741168.46,
859,11740950.23,
860,11744431.4,
861,11745312.65,
862,11744232.63,
863,11744124.93,
864,11743194.18,
865,11741156.85,
866,11742180.89,
867,11740375.73,
868,11741494.18,
869,11740640.68,
870,11739059.79,
871,11739816.39,
872,11740709.05,
873,11739538.19,
874,11739363.41,
875,11737800.38,
876,11738562.15,
877,11738682,
878,11739293.63,
879,11738517.45,
880,11737474.89,
881,11740140.89,
882,11736924.58,
883,11736577.63,
884,11738715.23,
885,11736044.94,
886,11736846.83,
887,11737272.88,
888,11734740.1,
889,11735217.02,
890,11734852.52,
891,11734862.55,
892,11735686.71,
893,11733266.54,
894,11734065.49,
895,11734043.47,
896,11734516.31,
897,11734055.48,
898,11734948.55,
899,11734723.53,
900,11733454.6,
901,11733918.98,
902,11733170.45,
903,11734176.63,
904,11732534.46,
905,11733666.46,
906,11733316.88,
907,11731377.75,
908,11733083.74,
909,11731240.95,
910,11729923.29,
911,11731607.17,
912,11732511.1,
913,11731389.97,
914,11730243.89,
915,11731196.13,
916,11732945.47,
917,11731602.12,
918,11731216.38,
919,11731193.05,
920,11730199.75,
921,11730414.67,
922,11731246.93,
923,11730966.7,
924,11729110.81,
925,11728525.12,
926,11727132.76,
927,11728058.34,
928,11729349.98,
929,11728571.52,
930,11728722.41,
931,11728361.79,
932,11727176.98,
933,11729013.87,
934,11729851.82,
935,11729232.04,
936,11728699.5,
937,11728661.12,
938,11728146.94,
939,11727551.2,
940,11728724.14,
941,11727019.68,
942,11726161.03,
943,11726038.23,
944,11725691.37,
945,11724985.92,
946,11725346.61,
947,11726665,
948,11726316.36,
949,11727071.75,
950,11726383.94,
951,11724063.46,
952,11728242.36,
953,11725277.44,
954,11726093.02,
955,11725653.42,
956,11725645.37,
957,11725964.64,
958,11724607,
959,11726501.5,
960,11725125.78,
961,11723336.25,
962,11725122.72,
963,11723485.67,
964,11724464.27,
965,11722641.19,
966,11724235.32,
967,11724062.58,
968,11720694.39,
969,11722671.05,
970,11724012.2,
971,11723144.7,
972,11724322.85,
973,11722590.41,
974,11722257.89,
975,11725200.7,
976,11723633.89,
977,11723672.52,
978,11723627,
979,11721903.18,
980,11722967.93,
981,11722583.04,
982,11721749.25,
983,11721071.07,
984,11722173.71,
985,11721306.14,
986,11721492.6,
987,11720174.7,
988,11719765.26,
989,11722006.94,
990,11722678.92,
991,11721589.49,
992,11720570.5,
993,11720928.51,
994,11722587.18,
995,11722683.58,
996,11721565.47,
997,11721039.61,
998,11719845.72,
999,11719496.42,
1000,11718808.87,
1001,11716297.69,
1002,11715080.03,
1003,11716929.39,
1004,11715363.48,
1005,11716656.47,
1006,11717000.72,
1007,11717259.73,
1008,11720329.96,
1009,11717941.88,
1010,11717927.92,
1011,11718245.29,
1012,11719825.56,
1013,11718670.37,
1014,11719585.34,
1015,11717598.86,
1016,11719383.55,
1017,11719441.18,
1018,11718922.71,
1019,11718165.94,
1020,11718177.12,
1021,11716884.89,
1022,11718744.2,
1023,11718598.74,
1024,11718787.19,
1025,11716795.38,
1026,11719216.54,
1027,11718888.61,
1028,11719480.55,
1029,11718216.35,
1030,11719114.85,
1031,11718388.39,
1032,11719676.67,
1033,11719896.7,
1034,11719046.12,
1035,11718900.27,
1036,11717390.06,
1037,11716974.13,
1038,11717866.7,
1039,11715855.35,
1040,11716865.27,
1041,11718019.1,
1042,11717271.25,
1043,11717315.46,
1044,11716813.11,
1045,11720193.3,
1046,11718181.77,
1047,11717992.95,
1048,11719046.49,
1049,11718156.04,
1050,11718589.86,
1051,11717765.62,
1052,11717448.47,
1053,11717174.95,
1054,11717184.15,
1055,11717632.54,
1056,11716463.98,
1057,11716535.28,
1058,11717911.22,
1059,11715898.31,
1060,11718416.84,
1061,11718249.14,
1062,11717707.11,
1063,11716510.95,
1064,11718419.7,
1065,11717629.55,
1066,11718625.5,
1067,11718162.93,
1068,11719291.48,
1069,11718402.25,
1070,11719842.44,
1071,11717578.2,
1072,11719072.32,
1073,11717546.55,
1074,11718235.52,
1075,11718109.78,
1076,11717066.9,
1077,11717976.77,
1078,11716120.63,
1079,11717894.88,
1080,11717540.65,
1081,11717303.93,
1082,11716977.19,
1083,11718355.17,
1084,11719120,
1085,11719899.66,
1086,11717689.12,
1087,11718642.02,
1088,11718732.22,
1089,11718187.59,
1090,11718578.11,
1091,11718915.25,
1092,11718024.32,
1093,11717836.79,
1094,11718294.63,
1095,11716823.32,
1096,11717248.36,
1097,11716877.63,
1098,11718667.29,
1099,11718540.78,
1100,11718086.86,
1101,11717957.71,
1102,11719383.89,
1103,11719167.24,
1104,11719000.29,
1105,11716483.75,
1106,11716259.78,
1107,11715965.09,
1108,11715884.5,
1109,11716748.99,
1110,11715999.15,
1111,11716139.89,
1112,11717488.62,
1113,11716372.6,
1114,11716357.93,
1115,11717448.58,
1116,11717159.83,
1117,11716616.76,
1118,11716691.16,
1119,11715984.8,
1120,11717243.14,
1121,11717085.12,
1122,11717876.01,
1123,11717206.78,
1124,11718222.84,
1125,11717975.82,
1126,11717869.29,
1127,11716853.71,
1128,11718413.69,
1129,11717415.4,
1130,11718145.62,
1131,11717845.29,
1132,11718006.25,
1133,11717812.55,
1134,11717859.71,
1135,11716329.78,
1136,11716011.67,
1137,11718251.5,
1138,11718514.09,
1139,11717776.38,
1140,11718018.37,
1141,11718867.83,
1142,11718391.75,
1143,11718598.14,
1144,11718776.44,
1145,11717195.15,
1146,11719044.18,
1147,11716856.51,
1148,11716693.15,
1149,11717718.46,
1150,11717074.28,
1151,11716754.31,
1152,11715930.52,
1153,11718354.16,
1154,11717429.55,
1155,11717964.44,
1156,11717779.9,
1157,11717229.52,
1158,11717839.65,
1159,11718008.53,
1160,11717929.45,
1161,11717942.82,
1162,11718281.89,
1163,11718058.83,
1164,11716216.93,
1165,11717338.16,
1166,11716544.33,
1167,11717648.35,
1168,11717130.47,
1169,11717266.61,
1170,11717262.49,
1171,11715032.85,
1172,11717198.76,
1173,11716092.08,
1174,11716456.62,
1175,11715475.22,
1176,11716224.65,
1177,11716016.55,
1178,11717106.02,
1179,11717122.49,
1180,11717708.07,
1181,11716164.63,
1182,11716415.22,
1183,11715575.12,
1184,11715015.81,
1185,11716154.83,
1186,11714380.17,
1187,11715483.79,
1188,11714582.95,
1189,11714350.48,
1190,11714130.68,
1191,11714094.15,
1192,11713787.91,
1193,11715314.09,
1194,11714270.66,
1195,11715906.57,
1196,11715187.77,
1197,11716318.12,
1198,11715206.79,
1199,11716137.78,
1200,11715786.48,
1201,11715701.03,
1202,11715756.23,
1203,11715386.66,
1204,11714554.84,
1205,11715656.29,
1206,11714993.71,
1207,11715786.96,
1208,11716143.62,
1209,11715074.17,
1210,11715545.84,
1211,11714772.42,
1212,11715802.4,
1213,11718123.95,
1214,11715902.53,
1215,11716075.64,
1216,11715369,
1217,11717236.02,
1218,11716992.66,
1219,11716092.99,
1220,11715160.81,
1221,11717014.27,
1222,11715452.94,
1223,11715384.17,
1224,11714309.61,
1225,11714712.15,
1226,11715472.32,
1227,11714342.64,
1228,11714546.41,
1229,11716410.84,
1230,11716165.74,
1231,11715799.41,
1232,11716195.57,
1233,11715456.77,
1234,11716484.46,
1235,11716929.6,
1236,11717698.1,
1237,11717321.6,
1238,11715309,
1239,11715860.75,
1240,11715013.8,
1241,11714182.09,
1242,11714998.69,
1243,11714831.8,
1244,11714722.13,
1245,11715199.1,
1246,11713277.31,
1247,11713519.54,
1248,11714825.77,
1249,11714090.66,
1250,11715133.71,
1251,11714929.05,
1252,11715698.75,
1253,11714305.78,
1254,11715987.91,
1255,11715708.87,
1256,11714513.77,
1257,11714620.16,
1258,11714057.92,
1259,11713361.44,
1260,11714752.25,
1261,11713799.57,
1262,11713745.98,
1263,11713268.91,
1264,11714271.05,
1265,11712956.91,
1266,11713186.19,
1267,11713090.7,
1268,11713319.38,
1269,11713665.92,
1270,11712800.91,
1271,11714194.24,
1272,11715524.05,
1273,11714600.23,
1274,11712735.49,
1275,11714829.25,
1276,11711769.35,
1277,11714023.44,
1278,11712429.29,
1279,11713268.81,
1280,11712820.2,
1281,11713275.3,
1282,11713530.47,
1283,11711166.02,
1284,11713111.84,
1285,11711726.04,
1286,11713312.38,
1287,11712161.55,
1288,11713532.7,
1289,11713619.05,
1290,11712193.07,
1291,11713444.44,
1292,11712751.07,
1293,11712584.32,
1294,11712918.28,
1295,11713059.07,
1296,11712103.84,
1297,11712290.66,
1298,11710995.33,
1299,11711987.5,
1300,11712039.43,
1301,11712586.83,
1302,11712559.77,
1303,11713333.86,
1304,11712379.19,
1305,11713391.36,
1306,11713162.67,
1307,11711218.56,
1308,11711865.97,
1309,11712893.77,
1310,11713456.02,
1311,11713643.29,
1312,11711161.01,
1313,11712075.96,
1314,11712368.95,
1315,11711651.52,
1316,11711781.2,
1317,11711059.54,
1318,11711894.53,
1319,11711045.33,
1320,11711590.15,
1321,11710285.55,
1322,11711522.48,
1323,11710467.41,
1324,11711609.36,
1325,11711426.03,
1326,11712250.39,
1327,11712738.12,
1328,11713214.76,
1329,11712765.91,
1330,11712451.27,
1331,11710894.01,
1332,11712926.87,
1333,11711585.94,
1334,11710780.68,
1335,11712148.83,
1336,11711243.8,
1337,11711897.4,
1338,11711811.03,
1339,11710936.55,
1340,11710260.57,
1341,11710089.01,
1342,11711945.19,
1343,11711997.21,
1344,11712481.2,
1345,11712371.7,
1346,11711796.38,
1347,11711134.35,
1348,11711163.03,
1349,11712921.19,
1350,11712312.97,
1351,11710294.41,
1352,11712070.75,
1353,11710135.41,
1354,11711329.02,
1355,11711119.42,
1356,11710308.92,
1357,11710959.04,
1358,11710675.32,
1359,11710482.78,
1360,11711487.96,
1361,11712062.15,
1362,11712959,
1363,11711093.24,
1364,11711878.51,
1365,11710974.2,
1366,11710587.48,
1367,11711199.15,
1368,11711889.79,
1369,11711825.09,
1370,11711021.65,
1371,11710986.7,
1372,11710171.64,
1373,11710713.98,
1374,11709755.96,
1375,11710391.22,
1376,11709410.45,
1377,11710079.53,
1378,11710459.49,
1379,11710784.67,
1380,11711746.97,
1381,11711979.27,
1382,11711290.71,
1383,11710707.87,
1384,11710687.63,
1385,11711495.96,
1386,11711676.43,
1387,11711005.31,
1388,11710923.74,
1389,11709439.67,
1390,11711130.83,
1391,11708926.38,
1392,11708816.94,
1393,11710953.32,
1394,11709431.44,
1395,11710258.8,
1396,11710257.2,
1397,11709445.3,
1398,11710755.4,
1399,11709636.44,
1400,11711165.53,
1401,11711617.24,
1402,11711488.76,
1403,11712003.47,
1404,11709824.03,
1405,11711720.62,
1406,11710767.54,
1407,11710692.67,
1408,11709017.76,
1409,11711211.57,
1410,11709993.73,
1411,11709727.37,
1412,11709286.22,
1413,11710310.52,
1414,11709010.13,
1415,11709784.7,
1416,11709935.22,
1417,11710049.06,
1418,11711012.34,
1419,11710219.46,
1420,11712011.58,
1421,11710470.43,
1422,11711343.07,
1423,11710204.46,
1424,11711676.59,
1425,11710750.22,
1426,11709227.35,
1427,11710257.72,
1428,11708546.08,
1429,11709802.07,
1430,11709438.1,
1431,11709222.13,
1432,11708350.46,
1433,11709289.59,
1434,11709295.07,
1435,11710355.5,
1436,11711224.6,
1437,11709400.81,
1438,11711051.39,
1439,11711164.31,
1440,11710275.05,
1441,11710171.92,
1442,11711314.89,
1443,11711126.99,
1444,11709386.56,
1445,11708055.4,
1446,11709685.82,
1447,11710410.41,
1448,11709941.32,
1449,11710558.28,
1450,11709969.28,
1451,11710269.92,
1452,11709318.7,
1453,11709647.83,
1454,11709700.74,
1455,11711022.16,
1456,11711984.29,
1457,11710726.14,
1458,11711060.43,
1459,11710086.28,
1460,11711343.5,
1461,11710771.4,
1462,11710971.73,
1463,11710869.18,
1464,11710567.79,
1465,11710128.36,
1466,11711370.63,
1467,11710478.06,
1468,11710634.84,
1469,11711153.27,
1470,11710925.02,
1471,11710661.74,
1472,11711781.55,
1473,11711067.08,
1474,11713105.99,
1475,11713965.33,
1476,11713008.01,
1477,11711845.06,
1478,11713769.6,
1479,11712017.17,
1480,11712730.78,
1481,11712881.42,
1482,11711575.45,
1483,11711617.32,
1484,11712723.02,
1485,11711696.59,
1486,11713177.91,
1487,11711278.93,
1488,11712708.13,
1489,11712746.69,
1490,11710504.97,
1491,11712629.45,
1492,11713428.73,
1493,11714074.98,
1494,11713196.68,
1495,11712724.66,
1496,11711884.72,
1497,11713126.24,
1498,11712902.81,
1499,11712199.88,
1500,11712638.76,
1501,11712128.55,
1502,11712536.81,
1503,11711568.55,
1504,11712291.3,
1505,11712141.32,
1506,11712315.12,
1507,11711619.69,
1508,11712342.71,
1509,11712658.18,
1510,11713142.78,
1511,11713694.39,
1512,11714187.55,
1513,11713524.2,
1514,11713485.82,
1515,11713050.66,
1516,11713856.17,
1517,11712694.44,
1518,11712731.68,
1519,11710883.14,
1520,11711145.83,
1521,11711174.28,
1522,11712421.83,
1523,11712924.18,
1524,11711249.11,
1525,11711718.63,
1526,11712201.66,
1527,11711007.41,
1528,11711209.48,
1529,11712480.29,
1530,11711140.41,
1531,11711581.29,
1532,11711543.29,
1533,11712573.72,
1534,11714078.08,
1535,11712854.03,
1536,11711159.84,
1537,11711734.44,
1538,11710860.06,
1539,11710040.1,
1540,11710809.57,
1541,11711374.78,
1542,11710435.04,
1543,11710867.23,
1544,11710930.91,
1545,11710913.25,
1546,11710354.78,
1547,11711492.38,
1548,11711502.63,
1549,11712406.84,
1550,11710909.08,
1551,11711610.88,
1552,11710790.81,
1553,11712219.95,
1554,11711526.14,
1555,11710479.3,
1556,11710466.2,
1557,11709795,
1558,11712046.93,
1559,11709586.08,
1560,11711053.39,
1561,11711402.6,
1562,11710252.06,
1563,11710644.42,
1564,11710436.57,
1565,11710269.5,
1566,11710000.25,
1567,11711018.59,
1568,11711268.22,
1569,11712089.08,
1570,11710962.23,
1571,11710579.73,
1572,11710758.48,
1573,11711024.78,
1574,11710352.24,
1575,11710884.62,
1576,11710653.78,
1577,11709950.59,
